wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
eswiki	registered	0-99	SeroBOT	7	6	2020	8	13
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2022	7	10
ruwiki	registered	0-99	Рейму Хакурей	1	0	2023	3	16
eswiki	registered	0-99	SeroBOT	5	3	2021	5	15
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2021	8	22
eswiki	registered	0-99	SeroBOT	4	3	2022	11	9
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	5	24
frwiki	anonymous	n/a	Salebot	10	6	2021	2	1
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2021	7	8
simplewiki	anonymous	n/a	ChenzwBot	2	1	2021	2	9
eswiki	registered	100-499	SeroBOT	2	2	2021	9	12
ruwiki	registered	0-99	Рейму Хакурей	1	1	2020	11	4
ruwiki	anonymous	n/a	Рейму Хакурей	8	2	2021	2	27
eswiki	registered	0-99	SeroBOT	4	2	2020	10	21
frwiki	anonymous	n/a	Salebot	1	0	2021	8	4
ruwiki	anonymous	n/a	Рейму Хакурей	9	2	2022	5	31
frwiki	registered	0-99	Salebot	3	2	2020	12	27
simplewiki	anonymous	n/a	ChenzwBot	1	0	2022	11	28
bgwiki	registered	0-99	PSS 9	1	0	2021	11	24
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	4	24
enwiki	registered	0-99	ClueBot NG	2	0	2022	7	30
frwiki	registered	0-99	Salebot	2	0	2021	1	29
eswiki	anonymous	n/a	SeroBOT	31	18	2022	7	22
enwiki	anonymous	n/a	ClueBot NG	34	11	2020	11	21
enwiki	registered	0-99	ClueBot NG	17	6	2020	10	31
enwiki	anonymous	n/a	ClueBot NG	22	6	2020	7	7
enwiki	registered	0-99	ClueBot NG	10	4	2021	4	21
eswiki	anonymous	n/a	SeroBOT	49	33	2023	4	4
enwiki	anonymous	n/a	ClueBot NG	36	16	2020	9	16
eswiki	anonymous	n/a	SeroBOT	37	19	2022	10	30
enwiki	anonymous	n/a	ClueBot NG	27	10	2021	7	2
ruwiki	anonymous	n/a	Рейму Хакурей	7	1	2021	12	29
enwiki	anonymous	n/a	ClueBot NG	43	16	2020	10	26
fawiki	anonymous	n/a	Dexbot	35	8	2023	1	11
eswiki	registered	0-99	SeroBOT	7	5	2021	7	11
enwiki	anonymous	n/a	ClueBot NG	36	10	2021	2	17
enwiki	registered	0-99	ClueBot NG	16	8	2021	8	10
enwiki	anonymous	n/a	ClueBot NG	16	6	2021	10	2
enwiki	registered	0-99	ClueBot NG	13	5	2021	4	25
enwiki	registered	0-99	ClueBot NG	9	3	2021	6	24
eswiki	registered	0-99	SeroBOT	6	5	2022	4	18
eswiki	registered	0-99	SeroBOT	2	2	2023	6	1
frwiki	anonymous	n/a	Salebot	9	5	2021	3	15
ruwiki	registered	0-99	Рейму Хакурей	2	0	2020	8	18
ruwiki	registered	0-99	Рейму Хакурей	1	1	2022	4	5
ruwiki	anonymous	n/a	Рейму Хакурей	8	4	2021	1	8
simplewiki	anonymous	n/a	ChenzwBot	3	1	2021	7	4
eswiki	registered	0-99	SeroBOT	9	6	2020	7	20
simplewiki	anonymous	n/a	ChenzwBot	3	2	2021	10	12
simplewiki	registered	0-99	ChenzwBot	1	0	2021	10	16
eswiki	registered	100-499	SeroBOT	1	1	2021	3	28
eswiki	registered	0-99	SeroBOT	1	1	2023	6	22
simplewiki	anonymous	n/a	ChenzwBot	2	2	2020	8	16
enwiki	registered	0-99	ClueBot NG	1	0	2022	5	6
ruwiki	anonymous	n/a	Рейму Хакурей	14	2	2020	11	7
frwiki	registered	0-99	Salebot	3	2	2021	6	10
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2021	3	21
rowiki	anonymous	n/a	PatrocleBot	1	0	2022	12	28
frwiki	anonymous	n/a	Salebot	1	1	2021	10	30
eswiki	registered	0-99	SeroBOT	3	2	2021	11	15
simplewiki	registered	0-99	ChenzwBot	1	1	2021	10	13
frwiki	registered	0-99	Salebot	1	1	2021	10	14
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	3	30
frwiki	registered	0-99	Salebot	1	0	2023	3	7
simplewiki	anonymous	n/a	ChenzwBot	1	0	2022	3	29
fawiki	anonymous	n/a	Dexbot	26	6	2023	6	28
eswiki	registered	0-99	SeroBOT	10	6	2021	4	8
eswiki	anonymous	n/a	SeroBOT	78	41	2022	2	23
eswiki	anonymous	n/a	SeroBOT	105	61	2021	6	24
enwiki	registered	0-99	ClueBot NG	22	14	2021	8	30
enwiki	registered	0-99	ClueBot NG	23	11	2021	2	2
enwiki	anonymous	n/a	ClueBot NG	39	13	2020	9	17
enwiki	anonymous	n/a	ClueBot NG	3	1	2022	7	19
eswiki	anonymous	n/a	SeroBOT	51	27	2022	10	12
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	1	10
fawiki	anonymous	n/a	Dexbot	37	10	2023	3	27
simplewiki	anonymous	n/a	ChenzwBot	4	4	2021	6	3
eswiki	anonymous	n/a	SeroBOT	65	34	2020	11	29
fawiki	anonymous	n/a	Dexbot	28	7	2022	12	18
enwiki	registered	0-99	ClueBot NG	16	10	2021	8	4
enwiki	anonymous	n/a	ClueBot NG	15	9	2023	5	11
enwiki	anonymous	n/a	ClueBot NG	16	5	2021	6	28
eswiki	registered	100-499	SeroBOT	1	0	2021	11	7
ruwiki	anonymous	n/a	Рейму Хакурей	7	1	2021	7	1
eswiki	registered	0-99	SeroBOT	4	2	2021	8	28
enwiki	anonymous	n/a	ClueBot NG	31	10	2021	10	5
ruwiki	anonymous	n/a	Рейму Хакурей	5	2	2021	10	17
ruwiki	anonymous	n/a	Рейму Хакурей	3	0	2020	9	3
frwiki	anonymous	n/a	Salebot	1	1	2023	1	8
enwiki	registered	0-99	ClueBot NG	4	1	2023	3	11
ruwiki	anonymous	n/a	Рейму Хакурей	12	3	2022	4	28
enwiki	registered	0-99	ClueBot NG	8	6	2020	10	3
enwiki	registered	0-99	ClueBot NG	2	2	2020	9	29
eswiki	registered	0-99	SeroBOT	2	1	2021	9	15
simplewiki	anonymous	n/a	ChenzwBot	1	0	2021	8	17
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	9	19
ruwiki	anonymous	n/a	Рейму Хакурей	6	4	2022	8	18
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	8	31
ruwiki	registered	0-99	Рейму Хакурей	1	0	2022	9	1
eswiki	registered	100-499	SeroBOT	1	0	2020	12	10
simplewiki	anonymous	n/a	ChenzwBot	1	0	2021	5	14
simplewiki	registered	0-99	ChenzwBot	1	0	2022	1	17
eswiki	anonymous	n/a	SeroBOT	78	48	2020	12	7
enwiki	anonymous	n/a	ClueBot NG	24	11	2021	8	17
simplewiki	anonymous	n/a	ChenzwBot	4	1	2021	5	6
enwiki	registered	0-99	ClueBot NG	13	4	2020	10	14
enwiki	anonymous	n/a	ClueBot NG	7	4	2023	4	8
enwiki	registered	0-99	ClueBot NG	23	13	2020	7	22
eswiki	anonymous	n/a	SeroBOT	34	21	2023	6	29
eswiki	registered	500+	SeroBOT	4	3	2021	11	2
eswiki	anonymous	n/a	SeroBOT	46	33	2022	3	19
fawiki	anonymous	n/a	Dexbot	27	6	2023	2	16
frwiki	anonymous	n/a	Salebot	1	1	2023	3	15
enwiki	registered	0-99	ClueBot NG	29	19	2020	9	2
simplewiki	anonymous	n/a	ChenzwBot	5	1	2020	12	8
fawiki	anonymous	n/a	Dexbot	34	13	2022	10	19
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2022	10	29
ruwiki	anonymous	n/a	Рейму Хакурей	6	4	2020	12	28
eswiki	registered	0-99	SeroBOT	6	3	2020	8	18
enwiki	anonymous	n/a	ClueBot NG	10	3	2023	3	24
frwiki	anonymous	n/a	Salebot	2	2	2022	8	11
eswiki	registered	0-99	SeroBOT	9	9	2021	1	9
simplewiki	anonymous	n/a	ChenzwBot	2	2	2022	6	26
enwiki	anonymous	n/a	ClueBot NG	1	0	2022	7	22
bgwiki	anonymous	n/a	PSS 9	1	1	2021	1	29
bgwiki	anonymous	n/a	PSS 9	1	1	2023	5	17
rowiki	anonymous	n/a	PatrocleBot	1	0	2022	6	29
eswiki	registered	0-99	SeroBOT	6	2	2023	3	13
enwiki	anonymous	n/a	ClueBot NG	10	5	2022	11	11
eswiki	registered	0-99	SeroBOT	3	3	2022	8	9
frwiki	anonymous	n/a	Salebot	1	0	2023	1	31
frwiki	registered	0-99	Salebot	1	0	2022	4	7
eswiki	registered	500+	SeroBOT	1	1	2021	5	19
ruwiki	anonymous	n/a	Рейму Хакурей	6	3	2021	10	2
enwiki	anonymous	n/a	ClueBot NG	30	13	2021	9	2
eswiki	anonymous	n/a	SeroBOT	73	56	2021	8	15
enwiki	registered	0-99	ClueBot NG	16	6	2020	9	21
enwiki	registered	0-99	ClueBot NG	5	3	2021	8	24
eswiki	anonymous	n/a	SeroBOT	57	36	2021	6	20
eswiki	anonymous	n/a	SeroBOT	65	49	2022	12	11
eswiki	registered	0-99	SeroBOT	16	10	2020	7	10
frwiki	anonymous	n/a	Salebot	3	2	2022	4	13
frwiki	anonymous	n/a	Salebot	4	2	2021	1	31
ruwiki	anonymous	n/a	Рейму Хакурей	18	12	2023	3	23
fawiki	anonymous	n/a	Dexbot	20	1	2023	2	9
ruwiki	anonymous	n/a	Рейму Хакурей	6	1	2021	5	3
frwiki	anonymous	n/a	Salebot	2	1	2022	8	10
simplewiki	registered	0-99	ChenzwBot	1	1	2020	8	31
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2023	1	19
enwiki	anonymous	n/a	ClueBot NG	23	7	2021	11	4
enwiki	registered	0-99	ClueBot NG	10	9	2020	9	30
enwiki	registered	0-99	ClueBot NG	6	4	2023	3	10
simplewiki	anonymous	n/a	ChenzwBot	4	1	2020	8	14
frwiki	anonymous	n/a	Salebot	1	1	2020	8	15
ruwiki	anonymous	n/a	Рейму Хакурей	3	1	2023	5	28
frwiki	anonymous	n/a	Salebot	3	0	2021	7	8
ruwiki	anonymous	n/a	Рейму Хакурей	6	1	2021	6	2
eswiki	registered	0-99	SeroBOT	7	4	2022	1	12
ruwiki	registered	0-99	Рейму Хакурей	1	0	2022	10	8
enwiki	registered	0-99	ClueBot NG	2	2	2023	5	30
simplewiki	anonymous	n/a	ChenzwBot	2	1	2023	5	12
bgwiki	anonymous	n/a	PSS 9	2	1	2020	7	11
eswiki	anonymous	n/a	SeroBOT	112	62	2020	10	2
eswiki	anonymous	n/a	SeroBOT	74	46	2020	11	8
fawiki	anonymous	n/a	Dexbot	25	10	2023	6	17
enwiki	anonymous	n/a	ClueBot NG	31	11	2021	6	10
ruwiki	anonymous	n/a	Рейму Хакурей	9	5	2021	8	14
eswiki	anonymous	n/a	SeroBOT	58	40	2021	11	14
eswiki	registered	0-99	SeroBOT	9	7	2022	5	8
enwiki	anonymous	n/a	ClueBot NG	33	6	2021	2	13
enwiki	anonymous	n/a	ClueBot NG	16	5	2023	3	9
enwiki	anonymous	n/a	ClueBot NG	88	32	2021	1	21
ruwiki	anonymous	n/a	Рейму Хакурей	20	5	2022	4	10
fawiki	anonymous	n/a	Dexbot	16	5	2022	10	15
enwiki	anonymous	n/a	ClueBot NG	44	25	2021	6	14
eswiki	anonymous	n/a	SeroBOT	74	39	2022	5	9
enwiki	registered	0-99	ClueBot NG	19	8	2021	4	12
enwiki	anonymous	n/a	ClueBot NG	39	15	2021	9	8
ruwiki	anonymous	n/a	Рейму Хакурей	5	1	2021	2	9
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	10	9
ruwiki	anonymous	n/a	Рейму Хакурей	9	2	2021	7	14
fawiki	anonymous	n/a	Dexbot	27	5	2022	12	1
frwiki	anonymous	n/a	Salebot	2	1	2022	6	19
frwiki	registered	0-99	Salebot	1	1	2020	12	5
eswiki	registered	0-99	SeroBOT	1	0	2023	4	17
eswiki	registered	0-99	SeroBOT	5	1	2020	7	28
enwiki	anonymous	n/a	ClueBot NG	9	4	2023	4	16
eswiki	registered	0-99	SeroBOT	3	1	2022	5	1
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2022	10	30
ruwiki	anonymous	n/a	Рейму Хакурей	8	3	2021	3	30
fawiki	registered	500+	Dexbot	1	1	2022	5	4
simplewiki	anonymous	n/a	ChenzwBot	1	0	2021	7	14
eswiki	anonymous	n/a	SeroBOT	77	35	2021	5	28
rowiki	anonymous	n/a	PatrocleBot	8	3	2023	6	29
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2021	7	13
eswiki	anonymous	n/a	SeroBOT	29	15	2022	11	19
eswiki	registered	0-99	SeroBOT	3	1	2020	8	8
fawiki	anonymous	n/a	Dexbot	18	6	2023	2	12
eswiki	registered	500+	SeroBOT	5	2	2022	9	8
bgwiki	anonymous	n/a	PSS 9	1	1	2021	1	23
fawiki	anonymous	n/a	Dexbot	11	2	2022	10	4
eswiki	registered	0-99	SeroBOT	4	4	2023	3	26
enwiki	registered	0-99	ClueBot NG	11	3	2021	7	17
eswiki	registered	0-99	SeroBOT	16	12	2020	7	5
fawiki	anonymous	n/a	Dexbot	43	16	2022	8	4
eswiki	anonymous	n/a	SeroBOT	33	17	2022	8	25
enwiki	anonymous	n/a	ClueBot NG	23	9	2022	1	15
eswiki	anonymous	n/a	SeroBOT	48	27	2023	3	5
frwiki	anonymous	n/a	Salebot	4	2	2020	10	29
frwiki	anonymous	n/a	Salebot	3	2	2021	6	14
ruwiki	anonymous	n/a	Рейму Хакурей	7	4	2021	12	20
ruwiki	anonymous	n/a	Рейму Хакурей	10	3	2021	6	26
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2021	12	18
fawiki	anonymous	n/a	Dexbot	16	7	2022	8	20
ruwiki	anonymous	n/a	Рейму Хакурей	9	1	2020	10	19
eswiki	registered	0-99	SeroBOT	8	5	2022	4	15
simplewiki	anonymous	n/a	ChenzwBot	3	1	2021	7	13
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	9	19
eswiki	registered	500+	SeroBOT	2	1	2021	4	14
frwiki	anonymous	n/a	Salebot	1	1	2023	3	14
bgwiki	anonymous	n/a	PSS 9	1	0	2022	3	1
ruwiki	anonymous	n/a	Рейму Хакурей	2	1	2020	11	16
simplewiki	anonymous	n/a	ChenzwBot	2	1	2023	6	2
enwiki	anonymous	n/a	ClueBot NG	6	3	2022	6	30
simplewiki	anonymous	n/a	ChenzwBot	3	3	2022	6	21
frwiki	anonymous	n/a	Salebot	1	1	2021	4	22
enwiki	anonymous	n/a	ClueBot NG	51	18	2021	5	5
eswiki	anonymous	n/a	SeroBOT	86	47	2021	4	11
eswiki	anonymous	n/a	SeroBOT	61	39	2022	4	2
eswiki	registered	0-99	SeroBOT	13	8	2020	9	21
enwiki	anonymous	n/a	ClueBot NG	34	13	2021	6	15
eswiki	anonymous	n/a	SeroBOT	125	65	2021	1	26
enwiki	registered	0-99	ClueBot NG	19	11	2021	12	12
eswiki	registered	0-99	SeroBOT	10	6	2020	11	19
eswiki	anonymous	n/a	SeroBOT	38	18	2023	3	12
enwiki	registered	0-99	ClueBot NG	9	2	2022	11	22
enwiki	registered	0-99	ClueBot NG	12	3	2020	12	22
enwiki	registered	0-99	ClueBot NG	32	11	2021	2	1
simplewiki	anonymous	n/a	ChenzwBot	3	2	2021	8	25
eswiki	registered	0-99	SeroBOT	5	2	2022	3	26
eswiki	registered	0-99	SeroBOT	5	1	2022	10	10
eswiki	anonymous	n/a	SeroBOT	68	39	2022	3	3
frwiki	registered	0-99	Salebot	1	0	2021	9	30
eswiki	registered	n/a	SeroBOT	1	0	2022	12	1
eswiki	registered	0-99	SeroBOT	7	3	2022	1	14
ruwiki	anonymous	n/a	Рейму Хакурей	11	5	2021	5	12
ruwiki	anonymous	n/a	Рейму Хакурей	10	0	2022	4	2
ruwiki	anonymous	n/a	Рейму Хакурей	8	2	2021	12	6
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2022	12	21
frwiki	anonymous	n/a	Salebot	5	5	2023	6	30
enwiki	anonymous	n/a	ClueBot NG	13	8	2022	3	17
enwiki	registered	0-99	ClueBot NG	3	3	2023	3	31
simplewiki	anonymous	n/a	ChenzwBot	2	0	2022	7	9
simplewiki	registered	0-99	ChenzwBot	1	1	2022	10	25
enwiki	registered	0-99	ClueBot NG	4	0	2022	11	13
bgwiki	anonymous	n/a	PSS 9	2	0	2020	12	20
frwiki	anonymous	n/a	Salebot	1	1	2023	2	6
frwiki	anonymous	n/a	Salebot	1	0	2021	1	2
ruwiki	registered	0-99	Рейму Хакурей	1	1	2021	5	20
frwiki	anonymous	n/a	Salebot	1	1	2022	10	25
frwiki	anonymous	n/a	Salebot	1	1	2021	5	11
simplewiki	registered	0-99	ChenzwBot	1	1	2021	1	15
eswiki	anonymous	n/a	SeroBOT	98	79	2021	10	2
eswiki	anonymous	n/a	SeroBOT	71	43	2022	4	12
eswiki	anonymous	n/a	SeroBOT	84	38	2020	9	8
enwiki	anonymous	n/a	ClueBot NG	36	11	2021	4	30
eswiki	registered	0-99	SeroBOT	7	3	2021	8	2
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	8	31
eswiki	anonymous	n/a	SeroBOT	42	18	2023	1	13
eswiki	anonymous	n/a	SeroBOT	36	23	2022	6	28
eswiki	registered	500+	SeroBOT	2	2	2023	3	5
enwiki	anonymous	n/a	ClueBot NG	31	9	2021	2	10
fawiki	anonymous	n/a	Dexbot	39	9	2022	7	30
eswiki	anonymous	n/a	SeroBOT	67	38	2020	10	25
eswiki	anonymous	n/a	SeroBOT	58	33	2022	1	27
enwiki	anonymous	n/a	ClueBot NG	22	8	2021	8	26
enwiki	registered	0-99	ClueBot NG	5	4	2023	1	6
enwiki	anonymous	n/a	ClueBot NG	13	3	2022	11	4
eswiki	anonymous	n/a	SeroBOT	39	16	2022	5	6
enwiki	anonymous	n/a	ClueBot NG	36	9	2021	1	23
frwiki	anonymous	n/a	Salebot	3	1	2020	10	15
ruwiki	anonymous	n/a	Рейму Хакурей	11	3	2023	1	10
enwiki	anonymous	n/a	ClueBot NG	14	6	2022	3	21
enwiki	registered	0-99	ClueBot NG	18	12	2021	4	18
enwiki	anonymous	n/a	ClueBot NG	38	15	2020	12	5
eswiki	anonymous	n/a	SeroBOT	38	22	2021	12	27
enwiki	registered	0-99	ClueBot NG	22	11	2021	5	31
enwiki	registered	0-99	ClueBot NG	3	2	2022	6	8
enwiki	registered	0-99	ClueBot NG	18	9	2021	6	22
ruwiki	anonymous	n/a	Рейму Хакурей	12	4	2021	5	8
eswiki	registered	0-99	SeroBOT	9	3	2023	3	20
ruwiki	anonymous	n/a	Рейму Хакурей	6	3	2021	8	19
frwiki	anonymous	n/a	Salebot	4	1	2021	10	19
ruwiki	anonymous	n/a	Рейму Хакурей	13	4	2022	5	15
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	1	28
ruwiki	registered	0-99	Рейму Хакурей	1	1	2022	10	15
frwiki	registered	0-99	Salebot	3	2	2020	7	30
eswiki	registered	0-99	SeroBOT	7	4	2020	8	31
frwiki	anonymous	n/a	Salebot	2	1	2021	2	9
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	6	6
frwiki	anonymous	n/a	Salebot	1	1	2020	11	27
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	6	25
eswiki	registered	0-99	SeroBOT	2	2	2020	11	8
simplewiki	anonymous	n/a	ChenzwBot	1	1	2020	8	6
ruwiki	anonymous	n/a	Рейму Хакурей	4	2	2020	8	23
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	9	8
fawiki	anonymous	n/a	Dexbot	39	20	2023	5	1
enwiki	registered	0-99	ClueBot NG	11	4	2021	7	19
frwiki	registered	0-99	Salebot	4	4	2023	2	26
frwiki	anonymous	n/a	Salebot	1	0	2022	2	10
enwiki	anonymous	n/a	ClueBot NG	13	6	2023	6	19
enwiki	anonymous	n/a	ClueBot NG	33	11	2021	3	16
enwiki	anonymous	n/a	ClueBot NG	26	9	2021	7	16
enwiki	anonymous	n/a	ClueBot NG	42	10	2020	8	28
ruwiki	anonymous	n/a	Рейму Хакурей	14	10	2021	12	28
enwiki	registered	100-499	ClueBot NG	1	1	2023	5	28
eswiki	anonymous	n/a	SeroBOT	45	28	2023	5	5
enwiki	anonymous	n/a	ClueBot NG	39	16	2021	1	2
enwiki	anonymous	n/a	ClueBot NG	19	8	2022	4	5
simplewiki	anonymous	n/a	ChenzwBot	1	1	2022	3	7
enwiki	registered	0-99	ClueBot NG	10	6	2021	11	17
eswiki	registered	0-99	SeroBOT	7	5	2022	6	3
ruwiki	anonymous	n/a	Рейму Хакурей	7	2	2023	4	18
eswiki	registered	0-99	SeroBOT	6	5	2022	12	17
frwiki	anonymous	n/a	Salebot	4	3	2021	4	5
eswiki	registered	0-99	SeroBOT	5	4	2021	8	11
eswiki	registered	100-499	SeroBOT	1	1	2020	7	24
ruwiki	anonymous	n/a	Рейму Хакурей	12	3	2023	4	29
eswiki	registered	0-99	SeroBOT	11	8	2022	2	13
enwiki	registered	0-99	ClueBot NG	9	5	2021	11	3
frwiki	anonymous	n/a	Salebot	3	1	2021	5	13
enwiki	registered	0-99	ClueBot NG	5	3	2023	5	9
simplewiki	anonymous	n/a	ChenzwBot	2	2	2020	10	14
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	10	26
ruwiki	anonymous	n/a	Рейму Хакурей	9	5	2022	6	25
frwiki	anonymous	n/a	Salebot	1	0	2020	12	27
ruwiki	anonymous	n/a	Рейму Хакурей	3	2	2023	6	19
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	12	19
frwiki	anonymous	n/a	Salebot	3	2	2021	5	25
enwiki	anonymous	n/a	ClueBot NG	3	0	2022	6	15
enwiki	registered	0-99	ClueBot NG	7	4	2022	11	20
enwiki	anonymous	n/a	ClueBot NG	4	0	2023	1	11
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2021	8	5
ruwiki	registered	100-499	Рейму Хакурей	1	0	2022	3	2
frwiki	anonymous	n/a	Salebot	1	0	2022	11	2
eswiki	registered	0-99	SeroBOT	7	2	2020	7	7
enwiki	anonymous	n/a	ClueBot NG	14	9	2022	12	27
fawiki	anonymous	n/a	Dexbot	42	16	2022	7	29
frwiki	anonymous	n/a	Salebot	2	1	2020	12	17
eswiki	anonymous	n/a	SeroBOT	43	25	2022	12	13
enwiki	registered	0-99	ClueBot NG	12	6	2021	7	29
enwiki	anonymous	n/a	ClueBot NG	26	13	2021	9	23
ruwiki	anonymous	n/a	Рейму Хакурей	19	9	2022	3	31
enwiki	anonymous	n/a	ClueBot NG	15	6	2021	12	25
enwiki	registered	0-99	ClueBot NG	12	4	2020	8	7
enwiki	anonymous	n/a	ClueBot NG	38	10	2021	3	11
enwiki	anonymous	n/a	ClueBot NG	9	5	2022	5	12
eswiki	registered	0-99	SeroBOT	10	8	2022	9	21
enwiki	anonymous	n/a	ClueBot NG	8	4	2022	9	2
enwiki	anonymous	n/a	ClueBot NG	5	0	2023	1	9
eswiki	registered	0-99	SeroBOT	9	5	2020	8	20
enwiki	anonymous	n/a	ClueBot NG	38	15	2021	5	13
enwiki	anonymous	n/a	ClueBot NG	38	17	2021	6	5
eswiki	registered	0-99	SeroBOT	9	6	2021	7	10
enwiki	registered	0-99	ClueBot NG	19	10	2022	1	6
simplewiki	registered	0-99	ChenzwBot	1	1	2022	6	5
enwiki	registered	0-99	ClueBot NG	15	10	2021	9	20
frwiki	anonymous	n/a	Salebot	2	1	2023	3	13
eswiki	registered	0-99	SeroBOT	15	12	2021	3	1
rowiki	anonymous	n/a	PatrocleBot	1	0	2022	7	11
frwiki	registered	0-99	Salebot	2	2	2022	8	2
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2020	7	30
ruwiki	anonymous	n/a	Рейму Хакурей	4	1	2020	7	10
enwiki	registered	0-99	ClueBot NG	1	1	2020	7	29
eswiki	registered	0-99	SeroBOT	5	4	2022	7	27
ruwiki	registered	0-99	Рейму Хакурей	2	1	2022	3	29
frwiki	registered	0-99	Salebot	2	2	2020	12	31
frwiki	anonymous	n/a	Salebot	1	0	2023	2	20
simplewiki	anonymous	n/a	ChenzwBot	3	3	2021	1	16
simplewiki	anonymous	n/a	ChenzwBot	1	0	2022	5	21
eswiki	anonymous	n/a	SeroBOT	76	50	2021	4	24
eswiki	anonymous	n/a	SeroBOT	110	49	2020	10	6
eswiki	anonymous	n/a	SeroBOT	99	49	2021	2	11
enwiki	registered	0-99	ClueBot NG	10	6	2021	7	12
enwiki	anonymous	n/a	ClueBot NG	40	17	2021	7	22
frwiki	anonymous	n/a	Salebot	1	1	2020	12	4
eswiki	anonymous	n/a	SeroBOT	72	44	2021	9	21
enwiki	anonymous	n/a	ClueBot NG	17	8	2021	8	1
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2022	1	14
frwiki	anonymous	n/a	Salebot	14	7	2021	1	28
enwiki	registered	0-99	ClueBot NG	16	5	2021	1	20
simplewiki	anonymous	n/a	ChenzwBot	5	4	2021	8	1
enwiki	registered	0-99	ClueBot NG	9	9	2023	1	2
enwiki	registered	0-99	ClueBot NG	3	0	2022	5	11
enwiki	registered	0-99	ClueBot NG	8	6	2021	7	5
enwiki	registered	0-99	ClueBot NG	7	3	2021	6	13
ruwiki	anonymous	n/a	Рейму Хакурей	6	3	2021	6	9
enwiki	registered	0-99	ClueBot NG	17	3	2021	4	13
ruwiki	anonymous	n/a	Рейму Хакурей	10	2	2021	4	28
bgwiki	registered	0-99	PSS 9	1	1	2021	1	20
simplewiki	registered	0-99	ChenzwBot	2	2	2022	4	16
enwiki	registered	0-99	ClueBot NG	3	2	2023	1	22
simplewiki	anonymous	n/a	ChenzwBot	4	2	2022	1	20
enwiki	anonymous	n/a	ClueBot NG	3	2	2022	5	9
frwiki	registered	0-99	Salebot	4	2	2021	3	13
ruwiki	registered	0-99	Рейму Хакурей	1	0	2023	3	10
simplewiki	anonymous	n/a	ChenzwBot	1	1	2020	10	5
ruwiki	registered	0-99	Рейму Хакурей	1	0	2020	11	24
ruwiki	registered	0-99	Рейму Хакурей	1	0	2021	1	20
ruwiki	registered	0-99	Рейму Хакурей	1	0	2021	9	24
simplewiki	registered	0-99	ChenzwBot	1	1	2020	9	20
simplewiki	registered	0-99	ChenzwBot	1	1	2020	12	20
simplewiki	anonymous	n/a	ChenzwBot	1	1	2021	8	18
simplewiki	registered	0-99	ChenzwBot	1	1	2020	11	5
eswiki	registered	500+	SeroBOT	1	1	2021	2	28
eswiki	registered	0-99	SeroBOT	2	1	2022	6	6
ruwiki	registered	0-99	Рейму Хакурей	2	1	2020	9	30
eswiki	anonymous	n/a	SeroBOT	64	38	2021	1	23
eswiki	registered	0-99	SeroBOT	27	25	2023	2	10
enwiki	anonymous	n/a	ClueBot NG	37	16	2021	3	5
simplewiki	anonymous	n/a	ChenzwBot	4	2	2021	1	25
eswiki	anonymous	n/a	SeroBOT	45	25	2022	11	5
enwiki	anonymous	n/a	ClueBot NG	33	13	2020	8	10
enwiki	anonymous	n/a	ClueBot NG	39	12	2021	6	2
enwiki	anonymous	n/a	ClueBot NG	39	15	2021	4	23
enwiki	anonymous	n/a	ClueBot NG	2	1	2022	7	16
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2021	8	31
enwiki	registered	0-99	ClueBot NG	8	7	2023	4	21
eswiki	registered	0-99	SeroBOT	8	6	2022	10	22
simplewiki	anonymous	n/a	ChenzwBot	2	1	2021	8	16
ruwiki	anonymous	n/a	Рейму Хакурей	9	5	2022	10	19
ruwiki	anonymous	n/a	Рейму Хакурей	9	3	2022	2	28
simplewiki	anonymous	n/a	ChenzwBot	2	1	2023	2	24
