wiki_db	user_type	edit_bucket	bot	reverted_bot_reverts	bot_reverts_by_base_editor	year	month	day
eswiki	anonymous	n/a	SeroBOT	84	56	2021	2	3
ruwiki	anonymous	n/a	Рейму Хакурей	10	7	2022	7	19
ruwiki	anonymous	n/a	Рейму Хакурей	5	1	2021	10	15
ruwiki	anonymous	n/a	Рейму Хакурей	15	11	2023	3	11
eswiki	anonymous	n/a	SeroBOT	63	28	2022	11	29
enwiki	anonymous	n/a	ClueBot NG	62	35	2020	8	29
enwiki	registered	0-99	ClueBot NG	17	11	2022	1	5
enwiki	registered	0-99	ClueBot NG	13	3	2021	9	10
enwiki	anonymous	n/a	ClueBot NG	44	13	2021	2	19
enwiki	registered	0-99	ClueBot NG	14	3	2020	9	1
enwiki	registered	0-99	ClueBot NG	10	8	2021	8	20
fawiki	anonymous	n/a	Dexbot	24	9	2023	1	20
ruwiki	anonymous	n/a	Рейму Хакурей	8	5	2022	5	4
eswiki	registered	0-99	SeroBOT	3	2	2023	4	14
frwiki	anonymous	n/a	Salebot	5	0	2021	1	15
eswiki	anonymous	n/a	SeroBOT	53	23	2022	12	10
enwiki	registered	0-99	ClueBot NG	4	3	2023	3	7
enwiki	anonymous	n/a	ClueBot NG	9	2	2023	2	9
eswiki	registered	0-99	SeroBOT	5	3	2020	8	19
enwiki	registered	0-99	ClueBot NG	8	5	2021	11	12
eswiki	registered	0-99	SeroBOT	6	4	2022	2	15
ruwiki	anonymous	n/a	Рейму Хакурей	3	0	2020	8	10
simplewiki	registered	0-99	ChenzwBot	2	2	2020	12	22
frwiki	registered	0-99	Salebot	2	2	2023	3	4
frwiki	anonymous	n/a	Salebot	2	1	2022	4	8
eswiki	registered	0-99	SeroBOT	3	1	2023	2	9
simplewiki	anonymous	n/a	ChenzwBot	2	2	2021	9	13
enwiki	anonymous	n/a	ClueBot NG	4	1	2022	3	15
enwiki	registered	0-99	ClueBot NG	1	1	2022	3	15
eswiki	registered	0-99	SeroBOT	1	1	2023	2	16
eswiki	registered	0-99	SeroBOT	5	0	2022	7	25
enwiki	anonymous	n/a	ClueBot NG	2	1	2022	5	18
ruwiki	anonymous	n/a	Рейму Хакурей	1	1	2020	8	1
frwiki	anonymous	n/a	Salebot	1	0	2022	3	13
eswiki	registered	0-99	SeroBOT	1	1	2023	5	25
eswiki	anonymous	n/a	SeroBOT	102	61	2021	4	7
eswiki	anonymous	n/a	SeroBOT	88	42	2020	11	23
eswiki	anonymous	n/a	SeroBOT	50	28	2023	2	9
eswiki	anonymous	n/a	SeroBOT	48	26	2021	9	25
eswiki	anonymous	n/a	SeroBOT	91	55	2020	8	12
fawiki	anonymous	n/a	Dexbot	45	13	2022	8	3
enwiki	anonymous	n/a	ClueBot NG	24	12	2021	7	15
ruwiki	anonymous	n/a	Рейму Хакурей	7	5	2021	10	28
enwiki	anonymous	n/a	ClueBot NG	49	23	2021	6	8
eswiki	anonymous	n/a	SeroBOT	91	54	2021	1	27
enwiki	registered	0-99	ClueBot NG	14	7	2021	7	7
enwiki	registered	0-99	ClueBot NG	14	7	2021	9	7
eswiki	anonymous	n/a	SeroBOT	107	58	2020	10	13
eswiki	anonymous	n/a	SeroBOT	32	16	2023	2	4
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2023	4	26
enwiki	anonymous	n/a	ClueBot NG	26	13	2021	7	3
eswiki	registered	0-99	SeroBOT	13	10	2021	3	23
eswiki	registered	0-99	SeroBOT	5	0	2022	12	10
enwiki	anonymous	n/a	ClueBot NG	29	10	2021	7	29
enwiki	anonymous	n/a	ClueBot NG	24	12	2020	10	4
eswiki	registered	0-99	SeroBOT	5	3	2022	5	2
enwiki	registered	0-99	ClueBot NG	20	9	2022	3	1
rowiki	anonymous	n/a	PatrocleBot	3	2	2022	10	13
enwiki	anonymous	n/a	ClueBot NG	9	5	2023	4	29
enwiki	registered	0-99	ClueBot NG	5	2	2022	1	22
simplewiki	anonymous	n/a	ChenzwBot	2	1	2022	4	3
ruwiki	anonymous	n/a	Рейму Хакурей	12	2	2023	1	21
ruwiki	registered	0-99	Рейму Хакурей	1	0	2021	3	3
ruwiki	anonymous	n/a	Рейму Хакурей	5	3	2020	8	26
eswiki	registered	0-99	SeroBOT	3	2	2021	4	24
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	1	10
eswiki	registered	0-99	SeroBOT	4	2	2022	9	25
ruwiki	anonymous	n/a	Рейму Хакурей	12	5	2022	10	5
enwiki	registered	0-99	ClueBot NG	11	5	2021	9	13
ruwiki	registered	0-99	Рейму Хакурей	2	2	2021	5	10
eswiki	registered	0-99	SeroBOT	3	3	2020	8	23
frwiki	anonymous	n/a	Salebot	2	1	2021	4	29
simplewiki	anonymous	n/a	ChenzwBot	3	3	2020	9	30
frwiki	anonymous	n/a	Salebot	1	1	2022	11	14
enwiki	registered	0-99	ClueBot NG	11	8	2020	10	7
eswiki	registered	0-99	SeroBOT	36	29	2021	4	26
eswiki	anonymous	n/a	SeroBOT	52	30	2021	5	8
ruwiki	registered	0-99	Рейму Хакурей	2	0	2021	10	3
enwiki	anonymous	n/a	ClueBot NG	33	6	2020	9	14
eswiki	registered	0-99	SeroBOT	8	6	2020	9	10
frwiki	anonymous	n/a	Salebot	2	0	2020	12	3
enwiki	anonymous	n/a	ClueBot NG	11	2	2023	1	31
eswiki	registered	0-99	SeroBOT	28	22	2021	2	22
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2021	1	22
enwiki	anonymous	n/a	ClueBot NG	31	11	2020	8	1
eswiki	registered	0-99	SeroBOT	8	5	2022	8	12
enwiki	anonymous	n/a	ClueBot NG	21	9	2021	11	15
frwiki	anonymous	n/a	Salebot	7	6	2023	2	16
enwiki	registered	0-99	ClueBot NG	7	4	2021	8	15
eswiki	registered	0-99	SeroBOT	9	8	2023	6	18
rowiki	anonymous	n/a	PatrocleBot	1	1	2022	6	3
bgwiki	anonymous	n/a	PSS 9	1	1	2020	9	30
rowiki	anonymous	n/a	PatrocleBot	7	7	2022	8	13
enwiki	anonymous	n/a	ClueBot NG	12	3	2021	8	21
ruwiki	registered	0-99	Рейму Хакурей	1	0	2022	1	29
eswiki	registered	0-99	SeroBOT	3	1	2022	7	8
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	3	9
ruwiki	anonymous	n/a	Рейму Хакурей	10	3	2023	6	29
enwiki	anonymous	n/a	ClueBot NG	27	5	2020	7	13
frwiki	registered	0-99	Salebot	2	2	2021	8	10
enwiki	registered	0-99	ClueBot NG	14	9	2020	7	23
ruwiki	anonymous	n/a	Рейму Хакурей	10	3	2021	8	23
rowiki	anonymous	n/a	PatrocleBot	5	0	2022	10	5
ruwiki	anonymous	n/a	Рейму Хакурей	7	3	2021	10	12
enwiki	anonymous	n/a	ClueBot NG	1	0	2022	4	14
enwiki	registered	0-99	ClueBot NG	9	6	2022	12	3
frwiki	anonymous	n/a	Salebot	3	1	2021	11	12
frwiki	anonymous	n/a	Salebot	1	0	2021	8	10
fawiki	anonymous	n/a	Dexbot	26	10	2023	3	2
frwiki	anonymous	n/a	Salebot	2	0	2021	6	4
simplewiki	anonymous	n/a	ChenzwBot	2	1	2020	10	19
simplewiki	anonymous	n/a	ChenzwBot	1	0	2022	7	21
frwiki	registered	0-99	Salebot	2	2	2023	5	23
frwiki	registered	0-99	Salebot	1	1	2021	7	23
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2023	6	6
ruwiki	anonymous	n/a	Рейму Хакурей	5	2	2021	8	28
enwiki	registered	0-99	ClueBot NG	1	1	2022	7	24
simplewiki	anonymous	n/a	ChenzwBot	2	1	2020	11	2
enwiki	registered	0-99	ClueBot NG	2	0	2022	6	1
simplewiki	anonymous	n/a	ChenzwBot	1	0	2021	4	20
ruwiki	registered	0-99	Рейму Хакурей	1	0	2020	7	20
eswiki	anonymous	n/a	SeroBOT	49	31	2022	8	27
enwiki	anonymous	n/a	ClueBot NG	32	9	2021	11	19
eswiki	anonymous	n/a	SeroBOT	56	33	2021	9	26
enwiki	anonymous	n/a	ClueBot NG	24	8	2021	11	20
ruwiki	anonymous	n/a	Рейму Хакурей	11	3	2021	9	26
eswiki	anonymous	n/a	SeroBOT	50	22	2022	7	29
enwiki	anonymous	n/a	ClueBot NG	35	13	2022	1	26
eswiki	anonymous	n/a	SeroBOT	63	41	2022	4	10
eswiki	registered	0-99	SeroBOT	9	4	2020	10	8
ruwiki	anonymous	n/a	Рейму Хакурей	12	1	2022	11	4
eswiki	anonymous	n/a	SeroBOT	46	29	2022	8	2
eswiki	anonymous	n/a	SeroBOT	75	40	2020	8	19
enwiki	anonymous	n/a	ClueBot NG	19	9	2022	9	30
simplewiki	anonymous	n/a	ChenzwBot	4	2	2021	5	27
enwiki	anonymous	n/a	ClueBot NG	27	5	2021	11	17
eswiki	anonymous	n/a	SeroBOT	64	44	2021	1	9
eswiki	registered	0-99	SeroBOT	1	1	2023	6	20
enwiki	registered	0-99	ClueBot NG	6	3	2021	12	17
ruwiki	anonymous	n/a	Рейму Хакурей	9	6	2021	2	8
fawiki	anonymous	n/a	Dexbot	32	10	2023	5	12
simplewiki	anonymous	n/a	ChenzwBot	6	3	2021	3	29
fawiki	anonymous	n/a	Dexbot	26	7	2022	11	25
ruwiki	anonymous	n/a	Рейму Хакурей	3	1	2021	3	4
eswiki	registered	0-99	SeroBOT	9	6	2021	10	29
frwiki	registered	0-99	Salebot	1	1	2023	6	26
ruwiki	anonymous	n/a	Рейму Хакурей	15	9	2023	3	14
frwiki	anonymous	n/a	Salebot	7	5	2021	8	2
eswiki	registered	0-99	SeroBOT	9	7	2022	6	21
ruwiki	anonymous	n/a	Рейму Хакурей	12	3	2022	4	6
enwiki	registered	0-99	ClueBot NG	8	4	2021	9	25
enwiki	registered	0-99	ClueBot NG	3	0	2022	7	1
eswiki	registered	100-499	SeroBOT	1	1	2022	11	25
simplewiki	anonymous	n/a	ChenzwBot	4	4	2022	6	6
eswiki	registered	100-499	SeroBOT	1	1	2021	1	18
frwiki	anonymous	n/a	Salebot	1	1	2022	1	24
eswiki	anonymous	n/a	SeroBOT	96	52	2021	2	24
eswiki	anonymous	n/a	SeroBOT	81	37	2021	7	21
enwiki	anonymous	n/a	ClueBot NG	116	87	2021	5	7
enwiki	anonymous	n/a	ClueBot NG	27	13	2020	9	5
eswiki	registered	0-99	SeroBOT	7	6	2022	2	2
eswiki	registered	0-99	SeroBOT	11	11	2022	12	2
eswiki	anonymous	n/a	SeroBOT	108	71	2021	6	30
eswiki	anonymous	n/a	SeroBOT	33	18	2021	12	5
eswiki	anonymous	n/a	SeroBOT	33	20	2022	12	27
eswiki	anonymous	n/a	SeroBOT	98	78	2021	3	21
eswiki	anonymous	n/a	SeroBOT	78	55	2021	8	29
eswiki	anonymous	n/a	SeroBOT	64	43	2022	4	17
eswiki	anonymous	n/a	SeroBOT	75	41	2021	4	23
ruwiki	anonymous	n/a	Рейму Хакурей	14	6	2023	2	9
ruwiki	anonymous	n/a	Рейму Хакурей	11	6	2022	12	1
ruwiki	anonymous	n/a	Рейму Хакурей	6	2	2022	11	11
eswiki	registered	0-99	SeroBOT	7	1	2021	4	22
eswiki	registered	0-99	SeroBOT	2	0	2021	12	30
enwiki	registered	0-99	ClueBot NG	16	8	2020	7	21
ruwiki	anonymous	n/a	Рейму Хакурей	19	7	2022	3	25
enwiki	anonymous	n/a	ClueBot NG	12	4	2022	12	8
ruwiki	registered	0-99	Рейму Хакурей	1	1	2021	8	26
ruwiki	anonymous	n/a	Рейму Хакурей	9	4	2022	3	13
ruwiki	anonymous	n/a	Рейму Хакурей	9	2	2020	11	11
ruwiki	anonymous	n/a	Рейму Хакурей	9	4	2021	2	24
rowiki	anonymous	n/a	PatrocleBot	2	0	2023	3	24
frwiki	anonymous	n/a	Salebot	2	0	2020	11	19
eswiki	registered	0-99	SeroBOT	5	1	2020	7	30
enwiki	registered	0-99	ClueBot NG	5	0	2022	9	20
eswiki	registered	0-99	SeroBOT	5	3	2021	8	4
frwiki	anonymous	n/a	Salebot	5	3	2022	6	26
simplewiki	anonymous	n/a	ChenzwBot	4	1	2021	7	9
eswiki	registered	0-99	SeroBOT	1	0	2022	4	17
eswiki	registered	0-99	SeroBOT	1	0	2022	12	24
frwiki	registered	0-99	Salebot	1	1	2021	8	26
enwiki	registered	0-99	ClueBot NG	8	2	2022	3	31
eswiki	registered	100-499	SeroBOT	1	1	2022	5	26
rowiki	anonymous	n/a	PatrocleBot	1	0	2023	5	2
rowiki	registered	0-99	PatrocleBot	1	1	2022	11	17
ruwiki	anonymous	n/a	Рейму Хакурей	1	1	2021	5	6
eswiki	anonymous	n/a	SeroBOT	68	37	2021	12	23
eswiki	anonymous	n/a	SeroBOT	38	18	2023	2	10
enwiki	anonymous	n/a	ClueBot NG	10	2	2022	9	4
enwiki	anonymous	n/a	ClueBot NG	16	8	2021	7	26
eswiki	anonymous	n/a	SeroBOT	101	54	2021	2	12
eswiki	anonymous	n/a	SeroBOT	91	56	2021	9	16
frwiki	registered	0-99	Salebot	1	1	2020	9	14
enwiki	anonymous	n/a	ClueBot NG	32	8	2021	5	3
enwiki	registered	0-99	ClueBot NG	14	10	2020	10	18
fawiki	anonymous	n/a	Dexbot	24	8	2022	12	3
eswiki	anonymous	n/a	SeroBOT	57	28	2023	5	15
enwiki	anonymous	n/a	ClueBot NG	26	11	2021	4	10
frwiki	registered	0-99	Salebot	2	2	2022	2	20
ruwiki	anonymous	n/a	Рейму Хакурей	17	6	2022	4	20
enwiki	registered	0-99	ClueBot NG	21	5	2021	5	11
eswiki	registered	0-99	SeroBOT	6	3	2021	11	30
fawiki	anonymous	n/a	Dexbot	21	3	2023	3	19
enwiki	anonymous	n/a	ClueBot NG	28	16	2020	8	9
